"","ukr","en","","","NOTES – use \n for newline","max length"
"mat_rock_static_cursed_green","Greed-cursed rock","Greed-cursed rock","","","",""
"mat_cursed_liquid","Greed-cursed liquid","Greed-cursed liquid","","","",""
"animal_statue_physics","Hohtonaamio","Hohtonaamio","","","Transliterate",""
"streamingevent_transform_nukes","Projectiles Into Nukes","Projectiles Into Nukes","","","",""
"log_greed_curse_away_full","The curse relents.","The curse relents.","","","",""
"logdesc_greed_curse","You gain 3x gold, but are terribly cursed!","You gain 3x gold, but are terribly cursed!","","","",""
"item_greed_crystal","Greed-cursed crystal","Greed-cursed crystal","","","",""
"log_moon_altar_extra","The gods are confused","The gods are confused","","","",""
"logdesc_moon_altar_extra","What is that?!","What is that?!","","","",""
"itemdesc_alchemy_key_musicbox_1","The key remembers a song.","The key remembers a song.","","","",""
"itemdesc_alchemy_key_musicbox_2","The key remembers two songs.","The key remembers two songs.","","","",""
"itemdesc_alchemy_key_musicbox_3","The key remembers three songs.","The key remembers three songs.","","","",""
"itemdesc_alchemy_key_musicbox_4","The key is ready.","The key is ready.","","","",""
"perk_exploding_gold","Exploding Gold","Exploding Gold","","","",""
"perkdesc_exploding_gold","Samorodky zolota vybuxajutj, jakŝo vony znykajutj abo jakŝo ïx pidibraty.","Nuggets of gold explode once they expire or are picked up.","","","",""
"action_quantum_split","Quantum Split","Quantum Split","","","",""
"actiondesc_quantum_split","Makes a projectile split into three projectiles whose existences are entangled","Makes a projectile split into three projectiles whose existences are entangled","","","",""
"log_fasttravel","A portal appears!","A portal appears!","","","",""
"logdesc_fasttravel","This could be useful...","This could be useful...","","","",""
"perk_fast_projectiles","Faster Projectiles","Faster Projectiles","","","",""
"perkdesc_fast_projectiles","Your projectile spells fly faster than before.","Your projectile spells fly faster than before.","","","",""
"action_chain_shot","Chain Spell","Chain Spell","","","",""
"actiondesc_chain_shot","Causes a projectile to cast a copy of itself upon expiring, up to 5 times","Causes a projectile to cast a copy of itself upon expiring, up to 5 times","","","",""
"action_teleport_projectile_short","Malenjkyj teleportacijnyj snarjad","Small Teleport Bolt","","","",""
"actiondesc_teleport_projectile_short","A shortlived magical bolt that moves you wherever it ends up flying","A shortlived magical bolt that moves you wherever it ends up flying","","","",""
"perk_worm_smaller_holes","Remove Worm & Lukki Digging","Remove Worm & Lukki Digging","","","",""
"perkdesc_worm_smaller_holes","Worms and lukkis no longer destroy ground while burrowing.","Worms and lukkis no longer destroy ground while burrowing.","","","",""
"perk_worm_bigger_holes","More Worm Digging","More Worm Digging","","","",""
"perkdesc_worm_bigger_holes","Worms now dig a larger area around them.","Worms now dig a larger area around them.","","","",""
"animal_homunculus","Homunculus","Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus","Summon Random Homunculi","Summon Random Homunculi","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus","A group of helpful little homunculi appears to aid you","A group of helpful little homunculi appears to aid you","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_dark","Summon Digging Homunculus","Summon Digging Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_dark","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_fire","Summon Fiery Homunculus","Summon Fiery Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_fire","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_heal","Summon Healer Homunculus","Summon Healer Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_heal","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_laser","Summon Glowing Homunculus","Summon Glowing Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_laser","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"streamingevent_homunculus_punch","Summon Puncher Homunculus","Summon Puncher Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"streamingeventdesc_homunculus_punch","A helpful little homunculus comes to your aid","A helpful little homunculus comes to your aid","","","Homunculus - alchemically created small humanoid creature ",""
"actiondesc_divide_2","Casts the next spell twice, but with reduced damage","Casts the next spell twice, but with reduced damage","","","",""
"actiondesc_divide_3","Casts the next spell 3 times, but with reduced damage","Casts the next spell 3 times, but with reduced damage","","","",""
"actiondesc_divide_4","Casts the next spell 4 times, but with reduced damage","Casts the next spell 4 times, but with reduced damage","","","",""
"actiondesc_divide_10","Čakluje nastupne zaklynannja 10 raziv, ale z menšoju škodoju","Casts the next spell 10 times, but with reduced damage","","","",""
"action_mu","Mu","Mu","","","Greek letter; do not translate",""
"actiondesc_mu","Every modifier-type spell in the current wand is applied to a projectile","Every modifier-type spell in the current wand is applied to a projectile","","","",""
"action_reset","Wand Refresh","Wand Refresh","","","",""
"actiondesc_reset","Reloads the wand immediately","Reloads the wand immediately","","","",""
"perk_extra_slots","Biljša mistkistj palyčok (Odnorazovo)","Extra Wand Capacity (One-off)","","","",""
"perkdesc_extra_slots","The wands you're currently carrying gain 1-3 additional spell slots (to a maximum of 25).","The wands you're currently carrying gain 1-3 additional spell slots (to a maximum of 25).","","","",""
"perk_teleportitis_dodge","Teleportitis Dodge","Teleportitis Dodge","","","",""
"perkdesc_teleportitis_dodge","You teleport a short distance away when an enemy projectile is near.","You teleport a short distance away when an enemy projectile is near.","","","",""
"perk_extra_mana","Biljše many, menša mistkistj (Odnorazovo)","High Mana, Low Capacity (One-off)","","","",""
"perkdesc_extra_mana","Your currently held wand loses half its capacity, but gains more mana.","Your currently held wand loses half its capacity, but gains more mana.","","","",""
"perk_homunculus","Homunculus","Homunculus","","","Homunculus - alchemically created small humanoid creature ",""
"perkdesc_homunculus","Every time you leave a Holy Mountain, a helpful homunculus is summoned.","Every time you leave a Holy Mountain, a helpful homunculus is summoned.","","","Homunculus - alchemically created small humanoid creature ",""
"action_larpa_death","Larpa Explosion","Larpa Explosion","","","",""
"actiondesc_larpa_death","A projectile will shoot out 8 copies of itself when it expires or hits the ground","A projectile will shoot out 8 copies of itself when it expires or hits the ground","","","",""
"action_bounce_larpa","Larpa Bounce","Larpa Bounce","","","",""
"actiondesc_bounce_larpa","A projectile will launch a copy of itself when it bounces","A projectile will launch a copy of itself when it bounces","","","",""
"log_homunculus","A homunculus is summoned!","A homunculus is summoned!","","","",""
"perkdesc_plague_rats","Dying enemies release rats to serve your bidding! All rats become your friend.","Dying enemies release rats to serve your bidding! All rats become your friend.","","","",""
"animal_wizard_hearty","Haavoittajamestari","Haavoittajamestari","","","Transliterate",""
"status_hearty","Heartache","Heartache","","","",""
"statusdesc_hearty","Your maximum health is temporarily halved.","Your maximum health is temporarily halved.","","","",""
"item_safe_haven","Kammi","Kammi","","","doesn't need to be translated",""
"item_description_safe_haven","Can be thrown to summon a cozy hut","Can be thrown to summon a cozy hut","","","",""
"item_kakka","Kakkakikkare","Kakkakikkare","","","Transliterate",""
"itemdesc_kakka","This mysterious spiral-shaped artefact smells horrible and feels warm to the touch","This mysterious spiral-shaped artefact smells horrible and feels warm to the touch","","","",""
"mat_feces","Feces","Feces","","","",""
"mat_gas_smelly","Smelly vapour","Smelly vapour","","","",""
"actiondesc_destruction","Instantly decimates foes around you, at the cost of your HP","Instantly decimates foes around you, at the cost of your HP","","","",""
"perk_faster_wands","Švydši palyčky (Odnorazovo)","Faster Wands (One-off)","","","",""
"perk_always_cast","Always Cast (One-off)","Always Cast (One-off)","","","",""
"perkdesc_always_cast","A random Always Cast spell is added to the wand in your hand, up to a maximum of 4.","A random Always Cast spell is added to the wand in your hand, up to a maximum of 4.","","","",""
"mat_peat","Torf","Peat","","","",""
"animal_drone_shield","Turvalennokki","Turvalennokki","","","Transliterate",""
"perkdesc_bleed_slime","Vaša krov - slyz ta slyz biljše ne spoviljnjuje vas, i vy majete biljšyj opir snarjadam.","You bleed slime, but slime no longer slows you down and you have higher projectile resistance.","","","",""
"perkdesc_bleed_oil","Vaša krov teper leğkozajmysta nafta, ale vy majete biljšyj opir vybuxam.","You bleed flammable oil, but you have higher explosive resistance.","","","",""
"animal_wizard_weaken","Turvattomuusmestari","Turvattomuusmestari","","","Transliterate",""
"animal_wizard_wither","Kuihduttajamestari","Kuihduttajamestari","","","Transliterate",""
"status_weaken","Vulnerable","Vulnerable","","","",""
"statusdesc_weaken","Your protective perks are temporarily disabled.","Your protective perks are temporarily disabled.","","","",""
"mat_meat_fruit","Fruit flesh","Fruit flesh","","","",""
"biome_wizardcave","Wizards' den","Wizards' den","","","",""
"action_zeta","Zeta","Zeta","","","Greek letter; do not translate",""
"actiondesc_zeta","Copies a random spell in another wand you're holding","Copies a random spell in another wand you're holding","","","",""
"perk_extra_hp","Biljše zdorov'ja (Odnorazovo)","Extra Health (One-off)","","","",""
"perk_laser_aim","Pinpointer","Pinpointer","","","",""
"perkdesc_laser_aim","Your wand arm emits a beam to help with aiming!","Your wand arm emits a beam to help with aiming!","","","",""
"item_vasta","Vasta","Vasta","","","doesn't need to be translated",""
"item_vihta","Vihta","Vihta","","","doesn't need to be translated",""
"action_ball_lightning","Ball Lightning","Ball Lightning","","","",""
"actiondesc_ball_lightning","Summons three short range electrical orbs","Summons three short range electrical orbs","","","",""
"perk_low_recoil","Low Recoil","Low Recoil","","","",""
"perkdesc_low_recoil","Recoil caused by your spells is greatly reduced, but your spells fly slightly slower.","Recoil caused by your spells is greatly reduced, but your spells fly slightly slower.","","","",""
"perk_projectile_repulsion_sector","Projectile Repulsion Sector","Projectile Repulsion Sector","","","",""
"perkdesc_projectile_repulsion_sector","Projectiles that fly into a small sector in front of you get blown away.","Projectiles that fly into a small sector in front of you get blown away.","","","",""
"perk_projectile_eater_sector","Projectile Eater","Projectile Eater","","","",""
"perkdesc_projectile_eater_sector","Projectiles that fly into a small sector behind of you disappear.","Projectiles that fly into a small sector behind of you disappear.","","","",""
"status_wither","Withered","Withered","","","",""
"statusdesc_wither","You're temporarily more vulnerable to all damage types.","You're temporarily more vulnerable to all damage types.","","","",""
"perk_projectile_slow_field","Projectile Slower","Projectile Slower","","","",""
"perkdesc_projectile_slow_field","Projectiles near you slow down.","Projectiles near you slow down.","","","Transliterate",""
"action_nolla","Nolla","Nolla","","","",""
"actiondesc_nolla","The duration of a projectile is set to zero","The duration of a projectile is set to zero","","","",""
"item_wand_good_1","Wand of Swiftness","Wand of Swiftness","","","",""
"item_wand_good_2","Wand of Destruction","Wand of Destruction","","","",""
"item_wand_good_3","Wand of Multitudes","Wand of Multitudes","","","",""
"perkdesc_bleed_oil","You bleed flammable oil, but are immune to fire.","You bleed flammable oil, but are immune to fire.","","","",""
"perkdesc_revenge_explosion","You release a magical explosion upon taking damage, and gain 25% resistance against explosions.","You release a magical explosion upon taking damage, and gain 25% resistance against explosions.","","","",""
"perkdesc_revenge_tentacle","You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.","You summon a monstrous tentacle upon taking damage, and gain 25% resistance against projectiles.","","","",""
"perkdesc_revenge_projectile","You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.","You return projectiles back to enemies upon taking damage, and gain 20% resistance against projectiles & explosions.","","","",""
"perkdesc_bounce","Almost all your spells bounce around and last longer.","Almost all your spells bounce around and last longer.","","","",""
"perkdesc_low_gravity","All creatures, you included, have lower personal gravity.","All creatures, you included, have lower personal gravity.","","","",""
"log_always_cast_failed","Too many always cast spells!","Too many always cast spells!","","","",""
"logdesc_always_cast_failed","Ce palyčka vže perevantažena...","This wand is already overloaded...","","","",""
"bookdesc07_forged","To gain true knowledge,\n one must slow down and not hurry.","To gain true knowledge,\n one must slow down and not hurry.","","","",""
"streamingeventdesc_protect_player","You become invincible for some time","You become invincible for some time","","","",""
"perkdesc_projectile_homing_shooter","Your spells arc towards you, but gain extra speed and deal extra damage.","Your spells arc towards you, but gain extra speed and deal extra damage.","","","",""
"log_perk_fulltitle","$0 - $1","$0 - $1","","","",""
"action_mana_reduce","Biljše many","Add mana","","","",""
"actiondesc_mana_reduce","Dodaje 30 many do vašoï palyčky","Adds 30 mana to the wand","","","",""
"perk_protection_radioactivity","Imunitet do toksyniv","Toxic Immunity","","","",""
"perkdesc_protection_radioactivity","You take no damage from toxic sludge and other toxic things.","You take no damage from toxic sludge and other toxic things.","","","",""
"mat_monster_powder_test","Monstrous powder","Monstrous powder","","","",""
"perkdesc_vampirism","Vy vtračajete 25% maksymaljnoğo zdorov'ja, prote može popovnyty zdorov'ja pytnoju krov'ju. Krov ne vplyvaje na rivenj nasyčennja.","You lose 25% maximum health, but can replenish health by drinking blood. Blood doesn't affect satiation level.","","","",""
"action_homing_accelerating","Accelerative Homing","Accelerative Homing","","","",""
"actiondesc_homing_accelerating","A projectile homes towards enemies at an increasing pace","A projectile homes towards enemies at an increasing pace","","","",""
"action_teleport_closer","Nablyžuvač","Homebringer Teleport Bolt","","","",""
"actiondesc_teleport_closer","Teleportuje uraženu cilj blyžče do vas","Brings the target hit closer to you","","","",""
"action_fanning_shot","Fanning Shot","Fanning Shot","","","",""
"actiondesc_fanning_shot","Launches multiple projectiles in a fan-like pattern","Launches multiple projectiles in a fan-like pattern","","","",""
"action_projectile_fan","Spell Fan","Spell Fan","","","",""
"actiondesc_projectile_fan","Pushes projectiles away from you","Pushes projectiles away from you","","","",""
"action_spells_to_power","Spells to Power","Spells to Power","","","",""
"actiondesc_spells_to_power","Converts any nearby projectiles cast by you into extra damage","Converts any nearby projectiles cast by you into extra damage","","","",""
"action_enemies_to_power","Essence to Power","Essence to Power","","","",""
"actiondesc_enemies_to_power","Increases a projectile's damage based on the number of creatures nearby","Increases a projectile's damage based on the number of creatures nearby","","","",""
"action_explosion_light","Magical Explosion","Magical Explosion","","","",""
"actiondesc_explosion_light","A large explosion that doesn't damage the ground","A large explosion that doesn't damage the ground","","","",""
"action_phi","Phi","Phi","","","Greek letter; do not translate",""
"actiondesc_phi","Čakluje kopiju kožnoğo zaklynannja typu ""snarjad"" na potočnij palyčci","Casts a copy of every projectile-type spell in the current wand","","","",""
"action_burst_x","Myriad Spell","Myriad Spell","","","",""
"actiondesc_burst_x","Simultaneously casts as many spells as you have left uncast in your wand","Simultaneously casts as many spells as you have left uncast in your wand","","","",""
"action_worm_launcher","Vyklykaty xrobaka","Summon Worm","","","",""
"actiondesc_worm_launcher","Bere xrobaka z inšoğo vymiru, ŝob žburnuty joğo z vysokoju švydkistju na korotkyj čas","Grabs a worm from a nether realm at high velocity for a short time","","","",""
"action_spiraling_shot","Spiral Arc","Spiral Arc","","","",""
"actiondesc_spiraling_shot","A projectile flies in a spiralling pattern","A projectile flies in a spiralling pattern","","","",""
"action_orbit_shot","Orbiting Arc","Orbiting Arc","","","",""
"actiondesc_orbit_shot","A projectile orbits the point of its origin","A projectile orbits the point of its origin","","","",""
"action_form_potion","Create potion","Create potion","","","",""
"actiondesc_form_potion","A small vortex sucks material and forms a small potion filled with it","A small vortex sucks material and forms a small potion filled with it","","","",""
"action_omega_disc_bullet","Summon Omega Sawblade","Summon Omega Sawblade","","","",""
"actiondesc_omega_disc_bullet","That's a lot of sawblade","That's a lot of sawblade","","","",""
"action_temporary_wall","Summon Wall","Summon Wall","","","",""
"actiondesc_temporary_wall","Summons a shortlived obstacle","Summons a shortlived obstacle","","","",""
"action_temporary_platform","Summon Platform","Summon Platform","","","",""
"actiondesc_temporary_platform","Summons a shortlived bit of ground","Summons a shortlived bit of ground","","","",""
"action_summon_missile","Summon Missile","Summon Missile","","","",""
"actiondesc_summon_missile","Summons a homing, explosive rocket","Summons a homing, explosive rocket","","","",""
"animal_maggot_tiny","Limatoukka","Limatoukka","","","Transliterate",""
"animal_boss_wizard","Mestarien mestari","Mestarien mestari","","","Transliterate",""
"animal_coward","Raukka","Raukka","","","Transliterate",""
"animal_thundermage_big","Suur-Ukko","Suur-Ukko","","","Transliterate",""
"animal_thunderhound","Ukkoskoira","Ukkoskoira","","","Transliterate",""
"animal_boss_robot","Kolmisilmän silmä","Kolmisilmän silmä","","","Transliterate",""
"animal_skygazer","Taivaankatse","Taivaankatse","","","Transliterate",""
"animal_gazer_big","Kolmisilmän kätyri","Kolmisilmän kätyri","","","Transliterate",""
"animal_dark_alchemist","Pahan muisto","Pahan muisto","","","Transliterate",""
"action_laser_emitter","Plazmovyj prominj","Plasma beam","","","",""
"actiondesc_laser_emitter","An instantaneous, dangerous beam of light","An instantaneous, dangerous beam of light","","","",""
"action_laser_emitter_thrower","Plasma show","Plasma show","","","",""
"actiondesc_laser_emitter_thrower","A projectile fires beams of light in random directions","A projectile fires beams of light in random directions","","","",""
"action_laser_cross","Plazmovyj prominj X","Plasma beam X","","","",""
"actiondesc_laser_cross","Plasma beams fly in an X-shaped pattern","Plasma beams fly in an X-shaped pattern","","","",""
"perk_personal_laser","Personal Plasma Beam","Personal Plasma Beam","","","",""
"perkdesc_personal_laser","You constantly fire a devastating plasma beam, but you fire spells much slower","You constantly fire a devastating plasma beam, but you fire spells much slower","","","",""
"mat_wizardstone","Odd brickwork","Odd brickwork","","","",""
"mat_drape","Drapes","Drapes","","","",""
"mat_darkstone","Dark rock","Dark rock","","","",""
"perk_moon_radar","Misjačnyj radar","Moon Radar","","","",""
"perkdesc_moon_radar","Vkazuje vam na Misjacj...?","Points you towards the moon...?","","","",""
"logdesc_greed_curse_away2","The curse has gone away.","The curse has gone away.","","","",""
"log_greed_curse_crystal2","The crystal breaks!","The crystal breaks!","","","",""
"logdesc_greed_curse_crystal2","The curse is active once again!","The curse is active once again!","","","",""
"menu_mods_settings_short","Modyfikaciï","Mod settings","","","",""
"NEWTEXTSINCE20201125","","","","","",""
"animal_gate_monster_a","Veska","Veska","","","Transliterate",""
"animal_gate_monster_b","Molari","Molari","","","Transliterate",""
"animal_gate_monster_c","Mokke","Mokke","","","Transliterate",""
"animal_gate_monster_d","Seula","Seula","","","Transliterate",""
"perkdesc_revenge_bullet","You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.","You return fire when hit by projectiles, and you gain 20% resistance against explosions and projectiles.","","","",""
"action_if_enemy","Requirement - Enemies","Requirement - Enemies","","","",""
"actiondesc_if_enemy","The next spell is skipped if there are less than 15 enemies nearby","The next spell is skipped if there are less than 15 enemies nearby","","","",""
"action_if_projectile","Requirement - Projectile Spells","Requirement - Projectile Spells","","","",""
"actiondesc_if_projectile","The next spell is skipped if there are less than 20 projectiles nearby","The next spell is skipped if there are less than 20 projectiles nearby","","","",""
"action_if_hp","Requirement - Low Health","Requirement - Low Health","","","",""
"actiondesc_if_hp","The next spell is skipped if you have more than 25% health left","The next spell is skipped if you have more than 25% health left","","","",""
"action_if_end","Requirement - Endpoint","Requirement - Endpoint","","","",""
"actiondesc_if_end","Any Requirement spells before this will skip all spells between them and this spell","Any Requirement spells before this will skip all spells between them and this spell","","","",""
"action_if_half","Requirement - Every Other","Requirement - Every Other","","","",""
"actiondesc_if_half","The next spell is skipped every other time this spell is cast","The next spell is skipped every other time this spell is cast","","","",""
"action_if_else","Requirement - Otherwise","Requirement - Otherwise","","","",""
"actiondesc_if_else","If a Requirement spell before this succeeds, the next spell is skipped","If a Requirement spell before this succeeds, the next spell is skipped","","","",""
"action_bloodlust","Bloodlust","Bloodlust","","","",""
"actiondesc_bloodlust","A projectile gains a hefty damage boost, but is also able to hurt you","A projectile gains a hefty damage boost, but is also able to hurt you","","","",""
"action_colour_red","Red Glimmer","Red Glimmer","","","",""
"actiondesc_colour_red","Gives a projectile a red sparkly trail","Gives a projectile a red sparkly trail","","","",""
"action_colour_green","Green Glimmer","Green Glimmer","","","",""
"actiondesc_colour_green","Gives a projectile a green sparkly trail","Gives a projectile a green sparkly trail","","","",""
"action_colour_purple","Purple Glimmer","Purple Glimmer","","","",""
"actiondesc_colour_purple","Gives a projectile a purple sparkly trail","Gives a projectile a purple sparkly trail","","","",""
"action_colour_orange","Orange Glimmer","Orange Glimmer","","","",""
"actiondesc_colour_orange","Gives a projectile a orange sparkly trail","Gives a projectile a orange sparkly trail","","","",""
"action_colour_blue","Blue Glimmer","Blue Glimmer","","","",""
"actiondesc_colour_blue","Gives a projectile a blue sparkly trail","Gives a projectile a blue sparkly trail","","","",""
"action_colour_yellow","Yellow Glimmer","Yellow Glimmer","","","",""
"actiondesc_colour_yellow","Gives a projectile a yellow sparkly trail","Gives a projectile a yellow sparkly trail","","","",""
"action_colour_invis","Invisible Spell","Invisible Spell","","","",""
"actiondesc_colour_invis","Turns a projectile invisible","Turns a projectile invisible","","","",""
"action_colour_rainbow","Rainbow Glimmer","Rainbow Glimmer","","","",""
"actiondesc_colour_rainbow","Gives a projectile a randomly colored sparkly trail","Gives a projectile a randomly colored sparkly trail","","","",""
"status_teleportation","Teleportitis","Teleportitis","","","",""
"statusdesc_teleportation","You teleport uncontrollably every now and then.","You teleport uncontrollably every now and then.","","","",""
"status_blindness","Blinded","Blinded","","","",""
"statusdesc_blindness","You can barely see a thing!","You can barely see a thing!","","","",""
"perkdesc_glass_cannon","Your spells are 5 times as powerful, but your maximum health becomes 50 and cannot be increased by normal hearts.","Your spells are 5 times as powerful, but your maximum health becomes 50 and cannot be increased by normal hearts.","","","",""
"perk_radar_item","Radar predmetiv","Item Radar","","","",""
"perkdesc_radar_item","Vy možete vidčuvaty predmety poblyzu.","You can sense nearby items.","","","",""
"perk_radar_moon","Misjačnyj radar","Moon Radar","","","",""
"perkdesc_radar_moon","Vy možete vidčuvaty misjačnu enerğiju.","You can sense lunar energy.","","","",""
"action_explosion_remove","Remove Explosion","Remove Explosion","","","",""
"actiondesc_explosion_remove","Makes a projectile no longer explode","Makes a projectile no longer explode","","","",""
"perk_extra_potion_capacity","Dodatkova mistkistj fljağ","Extra Potion Capacity","","","",""
"perkdesc_extra_potion_capacity","Fljağy zberiğajutj na 80% biljše ridyny","Potions store 80% more liquid","","","",""
"perkdesc_hearts_more_extra_hp","Hearts bestow more maximum health.","Hearts bestow more maximum health.","","","",""
"perk_vomit_rats","Spontaneous Generation","Spontaneous Generation","","","",""
"perkdesc_vomit_rats","Vomit near you evolves into helpful rat minions","Vomit near you evolves into helpful rat minions","","","",""
"mat_rat_powder","Ratty powder","Ratty powder","","","",""
"mat_poo_gas","Nauseating gas","Nauseating gas","","","",""
"perk_revenge_rats","Revenge Rats","Revenge Rats","","","",""
"perkdesc_revenge_rats","When you take damage, there's a chance that a helpful rat minion is summoned","When you take damage, there's a chance that a helpful rat minion is summoned","","","",""
"streamingevent_add_always_cast","Always Cast","Always Cast","","","",""
"streamingeventdesc_add_always_cast","Your currently-held wand gets a permanent always cast spell! (max. 4)","Your currently-held wand gets a permanent always cast spell! (max. 4)","","","",""
"action_expanding_orb","Expanding Sphere","Expanding Sphere","","","",""
"actiondesc_expanding_orb","A slow projectile that increases its damage over time","A slow projectile that increases its damage over time","","","",""
"action_homing_projectile","Follow Spells","Follow Spells","","","",""
"actiondesc_homing_projectile","Makes a projectile home towards other projectile spells","Makes a projectile home towards other projectile spells","","","",""
"mat_orb_powder","Guiding powder","Guiding powder","","","",""
"action_vacuum_powder","Powder Vacuum Field","Powder Vacuum Field","","","",""
"actiondesc_vacuum_powder","Sucks powder-like materials nearby and releases them upon expiring","Sucks powder-like materials nearby and releases them upon expiring","","","",""
"action_vacuum_liquid","Liquid Vacuum Field","Liquid Vacuum Field","","","",""
"actiondesc_vacuum_liquid","Sucks liquid materials nearby and releases them upon expiring","Sucks liquid materials nearby and releases them upon expiring","","","",""
"item_essence_stone","Essence Eater","Essence Eater","","","",""
"animal_physics_pata","Pata","Pata","","","transliterate",""
"item_wand_experimental_1","Experimental Wand","Experimental Wand","","","",""
"item_wand_experimental_2","Experimental Wand","Experimental Wand","","","",""
"booktitle_fisher","Alchemist's Note","Alchemist's Note","","","",""
"bookdesc_fisher","”Here I'm safe. I am safe.\nI left the others behind, and I have locked my research so that only those with real understanding can reach it.\nI should not worry. As long as I resist the temptation, I will be safe.\nI know my limits. Here I am far away from them.\n\nI should not worry.”","”Here I'm safe. I am safe.\nI left the others behind, and I have locked my research so that only those with real understanding can reach it.\nI should not worry. As long as I resist the temptation, I will be safe.\nI know my limits. Here I am far away from them.\n\nI should not worry.”","","","",""
"biome_rainforest_dark","Liğva Lukki","Lukki lair","","","transliterate “Lukki”",""
"mat_darkness","Ominous liquid","Ominous liquid","","","",""
"action_phasing_arc","Phasing Arc","Phasing Arc","","","",""
"actiondesc_phasing_arc","Makes a projectile fly much slower, but teleport short distances over its flight","Makes a projectile fly much slower, but teleport short distances over its flight","","","",""
"status_homing_shooter","Self-homing Spells","Self-homing Spells","","","",""
"statusdesc_homing_shooter","Your spells home towards yourself for a time.","Your spells home towards yourself for a time.","","","",""
"perkdesc_lower_spread","Your spells deal more damage and have lower spread and increased cast delay.","Your spells deal more damage and have lower spread and increased cast delay.","","","",""
"perkdesc_laser_aim","Your spells fly faster and have lower spread, and you have a handy sightline for aiming!","Your spells fly faster and have lower spread, and you have a handy sightline for aiming!","","","",""
"status_drunk_ui","Magic Drunkenness","Magic Drunkenness","","","",""
"statusdesc_drunk_ui","Your spells are less accurate and you're more flammable for a time.","Your spells are less accurate and you're more flammable for a time.","","","",""
"status_movement_slower_ui","Slower Movement","Slower Movement","","","",""
"statusdesc_movement_slower_ui","You move slower for a time.","You move slower for a time.","","","",""
"status_confusion_ui","Confusion","Confusion","","","",""
"statusdesc_confusion_ui","Your movement is unsure for a time.","Your movement is unsure for a time.","","","",""
"damage_orb_blood","blood link","blood link","","","",""
"boss_wizard_1","You're confused!","You're confused!","","","",""
"boss_wizard_2","You're drunk!","You're drunk!","","","",""
"boss_wizard_3","Your health is halved!","Your health is halved!","","","",""
"boss_wizard_4","You move more slowly!","You move more slowly!","","","",""
"boss_wizard_5","You're twitchy!","You're twitchy!","","","",""
"boss_wizard_6","You're weakened!","You're weakened!","","","",""
"boss_wizard_7","You're withering!","You're withering!","","","",""
"boss_wizard_8","Your projectiles home back to you!","Your projectiles home back to you!","","","",""
"action_vacuum_entities","Vacuum Field","Vacuum Field","","","",""
"actiondesc_vacuum_entities","Sucks nearby projectiles and creatures into the middle of the field instantaneously","Sucks nearby projectiles and creatures into the middle of the field instantaneously","","","",""
"action_bloodtentacle","Blood Tentacle","Blood Tentacle","","","",""
"actiondesc_bloodtentacle","When this tentacle hits an enemy, said enemy will also launch a tentacle","When this tentacle hits an enemy, said enemy will also launch a tentacle","","","",""
"action_explosion_tiny","Concentrated Explosion","Concentrated Explosion","","","",""
"actiondesc_explosion_tiny","Limits the radius of a projectile's explosion heavily","Limits the radius of a projectile's explosion heavily","","","",""
"action_liquid_to_explosion","Liquid Detonation","Liquid Detonation","","","",""
"actiondesc_liquid_to_explosion","Converts nearby nonmagical liquids into explosive gunpowder","Converts nearby nonmagical liquids into explosive gunpowder","","","",""
"action_laser_emitter_four","Plasma Beam Cross","Plasma Beam Cross","","","",""
"actiondesc_laser_emitter_four","Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!","Four deadly plasma beams in a cross-shape. Look out, they can hurt you as well!","","","",""
"action_laser_emitter_ray","Plasma Beam Thrower","Plasma Beam Thrower","","","",""
"actiondesc_laser_emitter_ray","A projectile fires plasma beams in all directions!","A projectile fires plasma beams in all directions!","","","",""
"action_bounce_laser_emitter","Plasma Beam Bounce","Plasma Beam Bounce","","","",""
"actiondesc_bounce_laser_emitter","A projectile launches a plasma beam upon bouncing","A projectile launches a plasma beam upon bouncing","","","",""
"action_homing_cursor","Aiming Arc","Aiming Arc","","","",""
